[IMATEC] ¿Una potencia física de 0 dBm equivale exactamente a 1 mW?	<b>Verdadero (V)</b><br><br><i>Verdadero. 10 * log10(1 mW / 1 mW) = 0 dBm.</i>
[SM] ¿La norma GUM clasifica las incertidumbres en Tipo A (evaluadas estadísticamente) y Tipo B (obtenidas por certificados y especificaciones técnicas)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Base metrológica internacional de estimación de incertidumbre.</i>
[SM] ¿Los convertidores analógico-digitales Sigma-Delta aprovechan el sobremuestreo y la modulación de ruido (noise shaping) para lograr altísima resolución a bajas frecuencias?	<b>Verdadero (V)</b><br><br><i>Verdadero. Desplazan la energía del ruido de cuantización hacia altas frecuencias donde se filtra digitalmente.</i>
[SM] ¿El sensor LVDT (Linear Variable Differential Transformer) mide desplazamientos mecánicos lineales con aislamiento galvánico y prácticamente nula fricción mecánica?	<b>Verdadero (V)</b><br><br><i>Verdadero. Transductor inductivo de núcleo móvil ferromagnético.</i>
[SM] El rechazo al modo común (CMRR) de un amplificador de instrumentación es típicamente muy bajo (alrededor de 10 dB).	<b>Falso (F)</b><br><br><i>Falso. Es muy alto, típicamente entre 80 dB y 120 dB, para rechazar interferencias parásitas inducidas de red (50/60 Hz).</i>
[SM] ¿La linealización analógica o por software de un sensor busca convertir una respuesta curva no lineal en una relación proporcional directa?	<b>Verdadero (V)</b><br><br><i>Verdadero. Facilita el procesamiento directo de la variable física.</i>
[SM] ¿Un puente de Wheatstone con 4 galgas activas (puente completo) cuadruplica la sensibilidad y compensa automáticamente las variaciones térmicas parásitas?	<b>Verdadero (V)</b><br><br><i>Verdadero. Vo = Vs * Delta_R / R0 con compensación térmica simétrica.</i>
[SDC] ¿Una LUT (Look-Up Table) de 6 entradas en una FPGA moderna puede implementar cualquier función lógica combinacional arbitraria de 6 variables?	<b>Verdadero (V)</b><br><br><i>Verdadero. Almacena en 64 bits de memoria estática la tabla de verdad completa de la función.</i>
[SDC] ¿El análisis estático de temporización (STA) evalúa exhaustivamente todos los caminos temporales sin necesidad de aplicar vectores de test en simulación?	<b>Verdadero (V)</b><br><br><i>Verdadero. Verifica analíticamente que se cumplan las cotas de setup y hold en el peor caso tecnológico.</i>
[SDC] Si el Slack de Setup en un camino crítico es negativo, el circuito funcionará correctamente reduciendo el voltaje de alimentación.	<b>Falso (F)</b><br><br><i>Falso. Un slack negativo indica una violación de temporización; para subsanarlo debe reducirse la frecuencia de reloj o optimizar el camino lógico.</i>
[SDC] ¿Para sincronizar una señal monocanal que cruza de un dominio de reloj a otro asíncrono (CDC), se emplea comúnmente una cadena de 2 biestables (2-FF synchronizer)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Reduce exponencialmente la probabilidad de que la metaestabilidad se propague al circuito de destino.</i>
[SDC] ¿Los bloques DSP embebidos en una FPGA integran multiplicadores hardware de alta velocidad y acumuladores optimizados para filtros FIR y FFT?	<b>Verdadero (V)</b><br><br><i>Verdadero. Realizan operaciones MAC (Multiply-Accumulate) en un único ciclo de reloj.</i>
[SDC] La memoria distribuida en una FPGA utiliza las memorias de bloque dedicadas BRAM en lugar de las tablas de búsqueda LUT.	<b>Falso (F)</b><br><br><i>Falso. La memoria distribuida aprovecha directamente la SRAM de las LUTs de la matriz lógica; las BRAMs son bloques físicos independientes.</i>
[SDC] ¿La técnica de 'pipelining' o segmentación inserta registros intermedios para fragmentar caminos combinacionales largos y elevar la frecuencia máxima fmax?	<b>Verdadero (V)</b><br><br><i>Verdadero. Reduce el retardo crítico por etapa aumentando el throughput a costa de unos pocos ciclos de latencia inicial.</i>
[SDC] ¿Un FIFO asíncrono permite transferir múltiples palabras de datos entre dos dominios de reloj distintos utilizando punteros codificados en código Gray?	<b>Verdadero (V)</b><br><br><i>Verdadero. El código Gray cambia solo 1 bit por transición, eliminando lecturas corruptas de punteros en el cruce de reloj.</i>
[SDC] En el flujo de diseño de FPGAs, la etapa de 'Place & Route' ocurre antes de la síntesis lógica RTL.	<b>Falso (F)</b><br><br><i>Falso. La síntesis lógica RTL y el mapeo a primitivas preceden obligatoriamente al emplazamiento y enrutado físico (Place & Route).</i>
[SDC] ¿Las restricciones físicas de reloj y temporización en herramientas modernas se definen habitualmente mediante archivos de formato SDC/XDC?	<b>Verdadero (V)</b><br><br><i>Verdadero. Synopsys Design Constraints / Xilinx Design Constraints.</i>
[SDC] ¿El reloj de una FPGA se distribuye a través de una red de árboles de reloj globales dedicados de bajo skew (búferes BUFG)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Garantiza mínima dispersión temporal de llegada a todos los biestables del chip.</i>
[SDC] ¿La síntesis de alto nivel (HLS) permite generar descripciones hardware sintetizables en VHDL o Verilog a partir de código algorítmico escrito en C/C++?	<b>Verdadero (V)</b><br><br><i>Verdadero. Acelera drásticamente el desarrollo de algoritmos matemáticos complejos en hardware.</i>
[CIAF] ¿La fórmula de Friis demuestra que la figura de ruido de la primera etapa (LNA) es el factor dominante en la figura de ruido total de una cadena receptora de RF?	<b>Verdadero (V)</b><br><br><i>Verdadero. El ruido de las etapas posteriores se divide por la ganancia acumulada G1*G2...</i>
[CIAF] ¿El divisor de potencia de Wilkinson proporciona adaptación perfecta en todos sus puertos y aislamiento ideal entre las salidas a la frecuencia de diseño?	<b>Verdadero (V)</b><br><br><i>Verdadero. Gracias a las líneas de cuarto de onda de 70.7 ohms y la resistencia de aislamiento de 100 ohms.</i>
[CIAF] El punto de compresión a 1 dB (P1dB) se produce a una potencia superior al punto de intersección de tercer orden (IP3).	<b>Falso (F)</b><br><br><i>Falso. OIP3 es una extrapolación teórica que se sitúa típicamente entre 10 y 12 dB por encima de P1dB.</i>
[CIAF] ¿El criterio de Barkhausen exige que la ganancia de bucle sea igual o superior a 1 con desfase neto de 0 grados para mantener oscilaciones estables?	<b>Verdadero (V)</b><br><br><i>Verdadero. Condición necesaria de realimentación positiva en osciladores.</i>
[CIAF] ¿La celda de Gilbert es una topología de mezclador doblemente balanceado que cancela el paso directo tanto de la señal de RF como del oscilador local (LO) a la salida de FI?	<b>Verdadero (V)</b><br><br><i>Verdadero. Alta supresión de productos espurios de intermodulación.</i>
[CIAF] Un oscilador de microondas con alto factor de calidad QL en su circuito resonante presenta un elevado ruido de fase.	<b>Falso (F)</b><br><br><i>Falso. Según la ecuación de Leeson, el ruido de fase es inversamente proporcional a QL^2; a mayor Q, menor ruido de fase.</i>
[CIAF] ¿Los amplificadores de potencia en conmutación en Clase E o F alcanzan eficiencias teóricas cercanas al 100% minimizando el solapamiento simultáneo de V e I?	<b>Verdadero (V)</b><br><br><i>Verdadero. Conmutan a tensión nula (ZVS) o corriente nula (ZCS).</i>
[CIAF] ¿En un LNA, la adaptación para mínima figura de ruido (Gamma_opt) no siempre coincide con la adaptación de potencia conjugada (S11*)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Se debe buscar un compromiso de diseño entre ganancia, VSWR y figura de ruido.</i>
[CIAF] ¿Un diodo varactor se utiliza comúnmente en un oscilador controlado por tensión (VCO) como condensador variable mediante tensión inversa?	<b>Verdadero (V)</b><br><br><i>Verdadero. La variación de su capacidad modifica la frecuencia de resonancia del tanque LC.</i>
[CIAF] Un acoplador directivo de cuadratura (branch-line de 90 grados) divide la potencia incidente a partes iguales con una diferencia de fase de 180 grados entre las salidas.	<b>Falso (F)</b><br><br><i>Falso. Introduce un desfase de exactamente 90 grados (de ahí el nombre cuadratura). El desfase de 180 grados es propio del anillo híbrido (rat-race).</i>
[CIAF] ¿Los productos de intermodulación de tercer orden (2f1 - f2 y 2f2 - f1) son especialmente perjudiciales porque caen directamente dentro del ancho de banda del canal receptor?	<b>Verdadero (V)</b><br><br><i>Verdadero. No pueden eliminarse mediante filtrado pasobanda convencional.</i>
[CIAF] ¿El amplificador Doherty mejora sustancialmente la eficiencia energética a potencias medias frente a señales con alta relación de potencia pico a promedio (PAPR)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Combina un amplificador portador (carrier) y uno de pico (peaking) con modulación activa de carga.</i>
[CEM] ¿La ecuación de Black modela el tiempo medio hasta el fallo (MTTF) de pistas de interconexión metálica por electromigración en función de la densidad de corriente J y temperatura T?	<b>Verdadero (V)</b><br><br><i>Verdadero. MTTF = (A / J^2) * exp(Ea / kT).</i>
[CEM] ¿Los materiales piezoeléctricos generan una carga eléctrica superficial en respuesta a una tensión mecánica aplicada?	<b>Verdadero (V)</b><br><br><i>Verdadero. Efecto piezoeléctrico directo, reversible con el inverso (deformación por campo E).</i>
[CEM] Las pérdidas por corrientes de Foucault (Eddy currents) en núcleos magnéticos son independientes de la frecuencia de operación.	<b>Falso (F)</b><br><br><i>Falso. Crecen con el cuadrado de la frecuencia (f^2); por eso a alta frecuencia se usan ferritas cerámicas de alta resistividad eléctrica.</i>
[CEM] ¿Las ferritas son óxidos cerámicos ferromagnéticos con alta permeabilidad magnética y muy baja conductividad eléctrica ideales para transformadores e inductores de alta frecuencia?	<b>Verdadero (V)</b><br><br><i>Verdadero. Su alta resistividad suprime drásticamente las corrientes parásitas de Foucault.</i>
[CEM] ¿Las aleaciones de soldadura sin plomo SAC (Sn-Ag-Cu) sustituyen al plomo cumpliendo las normativas medioambientales RoHS?	<b>Verdadero (V)</b><br><br><i>Verdadero. Aleación estándar en la industria de ensamblaje superficial SMT.</i>
[CEM] El fenómeno de electromigración se ve mitigado a temperaturas operativas muy elevadas.	<b>Falso (F)</b><br><br><i>Falso. La difusión atómica se acelera exponencialmente con la temperatura según la ley de Arrhenius, agravando el fallo por vacancias o 'whiskers'.</i>
[CEM] ¿El cobre presenta una conductividad eléctrica superior a la del aluminio pero tiene mayor masa específica y mayor coste?	<b>Verdadero (V)</b><br><br><i>Verdadero. sigma_Cu approx 5.8e7 S/m frente a sigma_Al approx 3.5e7 S/m.</i>
[CEM] ¿Un material ferromagnético por encima de su temperatura de Curie (Tc) pierde su magnetización espontánea y se comporta como paramagnético?	<b>Verdadero (V)</b><br><br><i>Verdadero. La agitación térmica desordena los dominios magnéticos de Weiss.</i>
[CEM] ¿El cuarzo monocristalino se utiliza en osciladores de precisión gracias a su altísimo factor de calidad mecánico Q y gran estabilidad térmica?	<b>Verdadero (V)</b><br><br><i>Verdadero. Q > 100,000 en cortes térmicamente compensados como el corte AT.</i>
[CEM] La fatiga térmica en uniones soldadas BGA se produce principalmente por el idéntico coeficiente de dilatación térmica (CTE) entre silicio y placa PCB.	<b>Falso (F)</b><br><br><i>Falso. Se produce precisamente por la discrepancia o desajuste de CTE (CTE mismatch) entre el chip y el sustrato orgánico FR4.</i>
[CEM] ¿La resistividad de los metales puros aumenta linealmente con la temperatura debido al incremento de la dispersión de electrones por fonones (vibraciones reticulares)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Regla de Matthiessen rho(T) = rho0*(1 + alpha*Delta_T).</i>
[CEM] ¿Los condensadores cerámicos dieléctricos de Clase 1 (como C0G/NP0) ofrecen capacitancia prácticamente invariable frente a temperatura y voltaje continuo aplicado?	<b>Verdadero (V)</b><br><br><i>Verdadero. Frente a los de Clase 2 (X7R, Y5V) que sufren fuerte degradación capacitiva con bias DC.</i>
[CTR] ¿El término integral (Ki) en un controlador PID elimina de forma estricta el error en régimen permanente ante una entrada en escalón constante?	<b>Verdadero (V)</b><br><br><i>Verdadero. Introduce un polo en el origen (sistema Tipo 1) que fuerza error nulo en régimen permanente.</i>
[CTR] ¿El término derivativo (Kd) aporta amortiguamiento anticipativo mejorando la estabilidad y reduciendo la sobreoscilación?	<b>Verdadero (V)</b><br><br><i>Verdadero. Actúa proporcionalmente a la velocidad de cambio del error.</i>
[CTR] El fenómeno de saturación del integrador ('integrator windup') se produce cuando el actuador opera holgadamente dentro de su rango lineal.	<b>Falso (F)</b><br><br><i>Falso. Ocurre cuando el actuador satura a su límite físico y el integrador sigue acumulando error sin poder corregirlo; exige técnicas anti-windup.</i>
[CTR] ¿El criterio de Routh-Hurwitz permite conocer cuántas raíces de un polinomio característico tienen parte real positiva sin necesidad de factorizarlas explícitamente?	<b>Verdadero (V)</b><br><br><i>Verdadero. El número de polos inestables es igual al número de cambios de signo en la primera columna de la tabla de Routh.</i>
[CTR] ¿Un coeficiente de amortiguamiento zeta = 0.707 (1/sqrt(2)) proporciona un compromiso excelente entre velocidad de subida y baja sobreoscilación (aprox. 4.3%)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Valor de diseño ampliamente utilizado en ingeniería de control.</i>
[CTR] En el lugar de las raíces (Root Locus), los polos en bucle cerrado parten de los ceros y terminan en los polos en bucle abierto al aumentar la ganancia K.	<b>Falso (F)</b><br><br><i>Falso. Parten de los polos en bucle abierto (K=0) y terminan en los ceros (K -> infinito).</i>
[CTR] ¿Un sistema de fase no mínima contiene ceros o polos en el semiplano complejo derecho que limitan el ancho de banda alcanzable?	<b>Verdadero (V)</b><br><br><i>Verdadero. Los ceros en el semiplano derecho producen retraso de fase adicional y respuesta inversa inicial.</i>
[CTR] ¿El Margen de Fase (PM) se mide a la frecuencia de cruce de ganancia donde el módulo de la función de bucle abierto es 0 dB?	<b>Verdadero (V)</b><br><br><i>Verdadero. PM = 180 + fase(L(j*w_0dB)).</i>
[CTR] ¿El método de discretización trapezoidal (Tustin) mapea todo el semiplano izquierdo continuo s estrictamente dentro del círculo unidad discreto z?	<b>Verdadero (V)</b><br><br><i>Verdadero. Preserva fielmente la estabilidad del sistema analógico al pasar a digital.</i>
[CTR] Aumentar indefinidamente la ganancia proporcional Kp de un sistema de tercer orden continuo siempre incrementa la estabilidad del lazo.	<b>Falso (F)</b><br><br><i>Falso. Desplaza los polos hacia el semiplano derecho provocando oscilaciones inestables.</i>
[CTR] ¿El teorema del valor final aplicado al error en Laplace requiere que los polos de s*E(s) tengan parte real negativa?	<b>Verdadero (V)</b><br><br><i>Verdadero. Requisito indispensable para que exista un valor asintótico estable en el tiempo.</i>
[CTR] ¿La representación en variables de estado dx/dt = Ax + Bu, y = Cx + Du permite modelar sistemas multivariables (MIMO) e internamente no lineales?	<b>Verdadero (V)</b><br><br><i>Verdadero. Marco matemático unificado de la teoría de control moderna.</i>
[IOT] ¿El factor de ensanchamiento (Spreading Factor SF) en modulación LoRa permite intercambiar mayor alcance de cobertura por menor velocidad binaria y mayor tiempo en el aire?	<b>Verdadero (V)</b><br><br><i>Verdadero. A mayor SF (de SF7 a SF12), mayor sensibilidad y robustez frente a interferencias.</i>
[IOT] ¿El protocolo MQTT utiliza una arquitectura de publicación/suscripción mediante un servidor central (Broker) sobre transporte TCP?	<b>Verdadero (V)</b><br><br><i>Verdadero. Desacopla espacial y temporalmente los emisores de los receptores de datos.</i>
[IOT] El protocolo CoAP (Constrained Application Protocol) funciona sobre transporte TCP orientado a conexión pesada.	<b>Falso (F)</b><br><br><i>Falso. Opera sobre UDP con cabeceras binarias mínimas de 4 bytes optimizadas para nodos de muy bajos recursos.</i>
[IOT] ¿La red LoRaWAN en Europa utiliza la banda ISM sub-GHz de 868 MHz sujeta a un límite de ciclo de trabajo (duty cycle) normativo del 1%?	<b>Verdadero (V)</b><br><br><i>Verdadero. Restringe el tiempo de transmisión para evitar saturar el canal común compartido.</i>
[IOT] ¿El perfil BLE (Bluetooth Low Energy) organiza los datos en servicios y características mediante la arquitectura GATT (Generic Attribute Profile)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Estructura estándar jerárquica de intercambio de telemetría y comandos.</i>
[IOT] En redes NB-IoT (Narrowband IoT), los dispositivos transmiten sobre frecuencias no reguladas sin licencia de operador móvil.	<b>Falso (F)</b><br><br><i>Falso. NB-IoT es un estándar 3GPP que opera sobre espectro licenciado celular dentro de bandas LTE.</i>
[IOT] ¿El modo de reposo profundo (Deep Sleep) con consumo inferior a unos pocos microamperios es imprescindible para que un nodo IoT opere 5 a 10 años con una pila botón?	<b>Verdadero (V)</b><br><br><i>Verdadero. El dispositivo pasa más del 99% del tiempo en modo suspensión apagando radios y periféricos.</i>
[IOT] ¿Un elemento seguro de hardware (Secure Element / HSM) almacena claves criptográficas privadas y protege contra ataques de extracción física y canal lateral?	<b>Verdadero (V)</b><br><br><i>Verdadero. Garantiza la identidad inmutable y la autenticidad del nodo frente a la nube.</i>
[IOT] El nivel de calidad de servicio QoS 0 en MQTT garantiza que el mensaje se entrega obligatoriamente al menos una vez al suscriptor.	<b>Falso (F)</b><br><br><i>Falso. QoS 0 es 'at most once' (como máximo una vez, sin retransmisiones ni acuse); QoS 1 es 'at least once' y QoS 2 es 'exactly once'.</i>
[IOT] ¿La técnica de Edge Computing procesa e infiere datos preliminares en el propio nodo o gateway reduciendo el volumen de tráfico enviado a la nube?	<b>Verdadero (V)</b><br><br><i>Verdadero. Reduce la latencia y ahorra energía de transmisión de radio.</i>
[IOT] ¿Las técnicas de Energy Harvesting permiten a dispositivos IoT autoalimentarse capturando energía residual del entorno (luz solar, vibraciones piezoeléctricas o gradientes térmicos Seebeck)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Permite nodos completamente desatendidos sin recambio de baterías.</i>
[IOT] ¿En el protocolo CoAP, el método 'Observe' permite a un cliente recibir actualizaciones automáticas del servidor cuando cambia el estado de un recurso sin hacer polling continuo?	<b>Verdadero (V)</b><br><br><i>Verdadero. Extensión pub/sub ligera sobre REST/CoAP.</i>
[RT] ¿En un sistema de tiempo real estricto (Hard Real-Time), el incumplimiento de un único plazo de ejecución (deadline) supone un fallo catastrófico del sistema?	<b>Verdadero (V)</b><br><br><i>Verdadero. En sistemas críticos (aeroespacial, automoción, médico) la corrección temporal es tan vital como la lógica.</i>
[RT] ¿El algoritmo Rate Monotonic (RM) asigna prioridades estáticas de forma inversamente proporcional al periodo de la tarea (menor periodo = mayor prioridad)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Algoritmo óptimo de prioridad estática para tareas periódicas independientes con deadlines implícitos.</i>
[RT] El algoritmo dinámico Earliest Deadline First (EDF) solo puede garantizar planificabilidad si la utilización total es menor al 69.3%.	<b>Falso (F)</b><br><br><i>Falso. EDF puede alcanzar una utilización de hasta el 100% (U <= 1.0) para tareas con deadlines en fin de periodo.</i>
[RT] ¿El fenómeno de inversión de prioridades ocurre cuando una tarea de alta prioridad queda bloqueada esperando un recurso retenido por una de baja prioridad y desaloja una de prioridad intermedia?	<b>Verdadero (V)</b><br><br><i>Verdadero. Problema clásico que afectó al Mars Pathfinder en 1997.</i>
[RT] ¿El protocolo de herencia de prioridad (Priority Inheritance Protocol PIP) eleva temporalmente la prioridad de la tarea que posee el mutex a la prioridad de la tarea que lo reclama?	<b>Verdadero (V)</b><br><br><i>Verdadero. Evita que tareas intermedias no relacionadas retrasen la liberación del recurso crítico.</i>
[RT] La función 'vTaskDelayUntil()' en FreeRTOS sufre de acumulación de derivas temporales (drift) a lo largo del tiempo.	<b>Falso (F)</b><br><br><i>Falso. 'vTaskDelayUntil' calcula el despertar de forma absoluta garantizando periodos exactos sin acumular jitter o deriva.</i>
[RT] ¿El análisis de tiempo de respuesta (Response Time Analysis RTA) permite verificar la planificabilidad de un conjunto de tareas incluso si superan la cota de Liu & Layland?	<b>Verdadero (V)</b><br><br><i>Verdadero. La cota de Liu & Layland es una condición suficiente pero no necesaria; el test RTA es exacto y necesario.</i>
[RT] ¿Un semáforo binario utilizado para sincronización pura evento-a-tarea no debe incorporar herencia de prioridad, reservándose ésta para mutexes de exclusión mutua?	<b>Verdadero (V)</b><br><br><i>Verdadero. En sincronización un hilo da la señal y otro la consume, no hay concepto de 'dueño' del recurso.</i>
[RT] El cambio de contexto (Context Switch) en un microcontrolador se realiza en exactamente cero ciclos de instrucción sin consumir tiempo alguno.	<b>Falso (F)</b><br><br><i>Falso. Requiere apilar registros de la CPU en el stack, actualizar el puntero de pila y restaurar registros de la nueva tarea, consumiendo latencia determinista.</i>
[RT] ¿El protocolo de techo de prioridad (Priority Ceiling Protocol PCP) previene los bloqueos mutuos (deadlocks) además de acotar la inversión de prioridad a como máximo una sección crítica?	<b>Verdadero (V)</b><br><br><i>Verdadero. Bloquea el acceso si la prioridad del proceso no supera los techos de los mutexes activos.</i>
[RT] ¿El tiempo de ejecución en el peor caso (WCET) es la cota superior determinista del tiempo que tarda una tarea en completarse bajo cualquier circunstancia?	<b>Verdadero (V)</b><br><br><i>Verdadero. Parámetro de entrada fundamental para cualquier prueba de planificabilidad formal.</i>
[RT] ¿Una cola de mensajes (Message Queue) en un RTOS proporciona transferencia segura de datos e hilos sincronizados entre tareas e interrupciones?	<b>Verdadero (V)</b><br><br><i>Verdadero. Mecanismo canónico de paso de mensajes con gestión de buffering interno.</i>
[PEE] ¿En un convertidor Buck ideal en modo de conducción continua (CCM), la relación entre tensión de salida y de entrada es Vo = D * Vg?	<b>Verdadero (V)</b><br><br><i>Verdadero. Donde D es el ciclo de trabajo comprendido entre 0 y 1.</i>
[PEE] ¿En un convertidor elevador Boost ideal en CCM, la tensión de salida siempre es estrictamente mayor o igual a la tensión de entrada?	<b>Verdadero (V)</b><br><br><i>Verdadero. Vo = Vg / (1 - D) con D en [0, 1).</i>
[PEE] La resistencia serie equivalente (ESR) del condensador de salida no influye en absoluto en el rizado de tensión en un convertidor Buck.	<b>Falso (F)</b><br><br><i>Falso. A frecuencias de conmutación altas, el rizado debido a Delta_IL * ESR suele dominar ampliamente sobre la componente capacitiva Delta_IL / (8*C*fs).</i>
[PEE] ¿Los semiconductores de banda ancha (Wide Bandgap WBG) como carburo de silicio (SiC) y nitruro de galio (GaN) permiten frecuencias de conmutación muy superiores con menores pérdidas?	<b>Verdadero (V)</b><br><br><i>Verdadero. Poseen campo de ruptura eléctrico y movilidad electrónica muy superiores al silicio tradicional.</i>
[PEE] ¿El modo de conducción discontinua (DCM) aparece cuando la corriente por la inductancia cae a cero y se extingue durante una porción del ciclo de conmutación?	<b>Verdadero (V)</b><br><br><i>Verdadero. Ocurre a cargas ligeras cuando la corriente media es menor que Delta_IL / 2.</i>
[PEE] En un convertidor reductor Buck, la corriente de entrada demandada de la fuente es puramente continua sin ninguna componente pulsante.	<b>Falso (F)</b><br><br><i>Falso. La corriente de entrada es fuertemente discontinua y pulsante entre 0 e IL; por eso requiere un condensador de desacoplo de entrada robusto.</i>
[PEE] ¿Un circuito de Corrección del Factor de Potencia (PFC) activo suele basarse en un convertidor Boost para hacer que la corriente consumida de la red senoidal sea sinusoidal y en fase con la tensión?	<b>Verdadero (V)</b><br><br><i>Verdadero. Logra factores de potencia superiores a 0.99 y minimiza la distorsión armónica total (THD).</i>
[PEE] ¿La modulación PWM senoidal (SPWM) en inversores de puente completo compara una onda senoidal de referencia con una portadora triangular de alta frecuencia?	<b>Verdadero (V)</b><br><br><i>Verdadero. Genera trenes de pulsos cuya anchura es proporcional a la amplitud de la sinusoide deseada.</i>
[PEE] ¿Las pérdidas por conmutación en un interruptor crecen en proporción directa con la frecuencia de conmutación fs?	<b>Verdadero (V)</b><br><br><i>Verdadero. P_sw = 0.5 * Vds * Id * (tr + tf) * fs.</i>
[PEE] El convertidor Buck-Boost produce una tensión de salida de la misma polaridad que la tensión de entrada.	<b>Falso (F)</b><br><br><i>Falso. Es una topología inversora: produce una tensión de polaridad negativa respecto a masa (Vo = -D/(1-D) * Vg).</i>
[PEE] ¿Los diodos Schottky de carburo de silicio (SiC) carecen prácticamente de corriente de recuperación inversa (Qrr approx 0)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Son dispositivos unipolares de portadores mayoritarios eliminando las pérdidas por recuperación inversa.</i>
[PEE] ¿Un transformador de aislamiento galvánico en un convertidor Flyback almacena energía magnética en el entrehierro de su núcleo durante el tiempo de conducción del transistor?	<b>Verdadero (V)</b><br><br><i>Verdadero. Actúa como inductancias acopladas (inductor con doble devanado), no como transformador puro continuo.</i>
[TEL] ¿Una pista de PCB se debe tratar como línea de transmisión distribuida si el retardo de propagación a lo largo de la pista supera la mitad del tiempo de subida de la señal (t_delay > tr / 2)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Criterio fundamental de integridad de señal para evitar reflexiones destructivas.</i>
[TEL] ¿La resistencia térmica total unión-ambiente theta_JA es la suma en serie de theta_JC (unión-cápsula), theta_CS (cápsula-disipador) y theta_SA (disipador-ambiente)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Modelo circuital térmico análogo a la ley de Ohm.</i>
[TEL] Un plano de masa continuo por debajo de las pistas de alta velocidad aumenta las emisiones radiadas y la inductancia del lazo de retorno.	<b>Falso (F)</b><br><br><i>Falso. Minimiza drásticamente el área del lazo de retorno, reduciendo la inductancia parásita y las emisiones de interferencia electromagnética (EMI).</i>
[TEL] ¿El desacoplo efectivo de la red de distribución de potencia (PDN) requiere condensadores cerámicos de varios valores colocados lo más cerca posible de los pines del circuito integrado?	<b>Verdadero (V)</b><br><br><i>Verdadero. Proporcionan corriente de alta frecuencia instantánea eludiendo la inductancia parásita de las pistas largas.</i>
[TEL] ¿La diafonía (crosstalk) entre dos pistas paralelas disminuye cuadráticamente al aumentar la distancia de separación entre ellas (regla 3W)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Alejar las pistas reduce tanto el acoplo capacitivo mutuo como el inductivo.</i>
[TEL] La pasta térmica aplicada entre la cápsula del componente y el disipador incrementa la resistencia térmica de contacto.	<b>Falso (F)</b><br><br><i>Falso. Rellena las microrrugosidades microscópicas de aire (pésimo conductor térmico) reduciendo notablemente theta_CS.</i>
[TEL] ¿Las vías de retorno de masa junto a vías de señal de alta velocidad preservan la continuidad del camino de retorno reduciendo la discontinuidad de impedancia?	<b>Verdadero (V)</b><br><br><i>Verdadero. Mantienen la impedancia y evitan que la corriente de retorno busque caminos tortuosos.</i>
[TEL] ¿Una terminación en serie colocada al inicio de la pista con valor R_term = Z0 - R_driver anula las reflexiones procedentes del receptor en circuito abierto?	<b>Verdadero (V)</b><br><br><i>Verdadero. Absorbe la onda reflejada evitando resonancias sucesivas.</i>
[TEL] En el apilado (stack-up) de una PCB de 4 capas estándar, es recomendable colocar las pistas de reloj sobre una ranura abierta en el plano de masa de referencia.	<b>Falso (F)</b><br><br><i>Falso. Cruzar una ranura (slot) en el plano de masa destruye el camino de retorno, causando un pico de EMI y severa distorsión de la señal.</i>
[TEL] ¿El fenómeno de ringing (sobreoscilación y oscilación amortiguada) en conmutación rápida está originado por la resonancia entre la inductancia parásita de la pista y la capacidad de entrada del receptor?	<b>Verdadero (V)</b><br><br><i>Verdadero. Circuito RLC subamortiguado parásito.</i>
[TEL] ¿El cobre con peso estándar de 1 oz/ft^2 equivale a un espesor de lámina de aproximadamente 35 micrómetros?	<b>Verdadero (V)</b><br><br><i>Verdadero. Grosor típico de capas exteriores e interiores en PCBs industriales.</i>
[TEL] ¿La temperatura máxima de unión (Tj_max) típica permitida en componentes semiconductores de silicio suele situarse entre 125 y 150 grados Celsius?	<b>Verdadero (V)</b><br><br><i>Verdadero. Operar por encima compromete la fiabilidad y acelera la degradación física del silicio.</i>
[TEM] ¿La metodología Lean Startup promueve ciclos cortos e iterativos de Crear-Medir-Aprender para validar hipótesis de negocio con el menor desperdicio de recursos?	<b>Verdadero (V)</b><br><br><i>Verdadero. Enfoque fundacional formulado por Eric Ries.</i>
[TEM] ¿El Producto Mínimo Viable (MVP) es la versión preliminar de un nuevo producto que permite al equipo recolectar la máxima cantidad de aprendizaje validado sobre clientes con el mínimo esfuerzo?	<b>Verdadero (V)</b><br><br><i>Verdadero. No busca ser perfecto sino validar la propuesta de valor.</i>
[TEM] Un ratio LTV/CAC inferior a 1.0 indica un modelo de negocio altamente rentable y escalable.	<b>Falso (F)</b><br><br><i>Falso. Significa que captar a un cliente cuesta más que todo el beneficio que generará a lo largo de su vida; el negocio pierde dinero con cada venta (se busca LTV/CAC >= 3).</i>
